month,calendar_year,demand_notice_deposits_B,fixed_term_deposits_B,total_deposits_B,all_12_months_flag
1996-01-31,1996,0.0,94442.784,94442.784,True
1996-02-29,1996,0.0,96952.305,96952.305,True
1996-03-31,1996,0.0,95433.179,95433.179,True
1996-04-30,1996,0.0,89325.381,89325.381,True
1996-05-31,1996,0.0,93360.359,93360.359,True
1996-06-30,1996,0.0,94354.714,94354.714,True
1996-07-31,1996,0.0,91802.142,91802.142,True
1996-08-31,1996,0.0,94580.684,94580.684,True
1996-09-30,1996,0.0,95592.854,95592.854,True
1996-10-31,1996,0.0,90684.954,90684.954,True
1996-11-30,1996,0.0,96115.281,96115.281,True
1996-12-31,1996,0.0,100699.188,100699.188,True
1997-01-31,1997,0.0,95661.353,95661.353,True
1997-02-28,1997,0.0,108390.222,108390.222,True
1997-03-31,1997,0.0,110117.802,110117.802,True
1997-04-30,1997,0.0,98381.109,98381.109,True
1997-05-31,1997,0.0,105493.237,105493.237,True
1997-06-30,1997,0.0,111511.125,111511.125,True
1997-07-31,1997,0.0,101010.854,101010.854,True
1997-08-31,1997,0.0,105629.544,105629.544,True
1997-09-30,1997,0.0,104982.185,104982.185,True
1997-10-31,1997,0.0,100824.602,100824.602,True
1997-11-30,1997,0.0,109753.337,109753.337,True
1997-12-31,1997,0.0,126101.117,126101.117,True
1998-01-31,1998,0.0,118655.729,118655.729,True
1998-02-28,1998,0.0,117961.083,117961.083,True
1998-03-31,1998,0.0,122580.065,122580.065,True
1998-04-30,1998,0.0,115923.166,115923.166,True
1998-05-31,1998,0.0,117379.153,117379.153,True
1998-06-30,1998,0.0,123837.38,123837.38,True
1998-07-31,1998,0.0,120309.632,120309.632,True
1998-08-31,1998,0.0,123484.52,123484.52,True
1998-09-30,1998,0.0,123817.483,123817.483,True
1998-10-31,1998,0.0,119809.679,119809.679,True
1998-11-30,1998,0.0,124389.331,124389.331,True
1998-12-31,1998,0.0,128274.769,128274.769,True
1999-01-31,1999,0.0,122945.641,122945.641,True
1999-02-28,1999,0.0,121417.1,121417.1,True
1999-03-31,1999,0.0,121613.897,121613.897,True
1999-04-30,1999,0.0,119155.925,119155.925,True
1999-05-31,1999,0.0,122669.24,122669.24,True
1999-06-30,1999,0.0,124303.412,124303.412,True
1999-07-31,1999,0.0,119554.392,119554.392,True
1999-08-31,1999,0.0,117907.872,117907.872,True
1999-09-30,1999,0.0,122574.362,122574.362,True
1999-10-31,1999,0.0,117544.972,117544.972,True
1999-11-30,1999,0.0,121825.882,121825.882,True
1999-12-31,1999,0.0,121366.497,121366.497,True
2000-01-31,2000,0.0,122913.452,122913.452,True
2000-02-29,2000,0.0,124709.387,124709.387,True
2000-03-31,2000,0.0,131350.156,131350.156,True
2000-04-30,2000,0.0,132108.525,132108.525,True
2000-05-31,2000,0.0,129648.236,129648.236,True
2000-06-30,2000,0.0,128428.699,128428.699,True
2000-07-31,2000,0.0,131927.358,131927.358,True
2000-08-31,2000,0.0,129184.992,129184.992,True
2000-09-30,2000,0.0,135418.107,135418.107,True
2000-10-31,2000,0.0,133792.225,133792.225,True
2000-11-30,2000,0.0,136195.256,136195.256,True
2000-12-31,2000,0.0,137991.577,137991.577,True
2001-01-31,2001,0.0,141127.488,141127.488,True
2001-02-28,2001,0.0,141589.968,141589.968,True
2001-03-31,2001,0.0,141218.867,141218.867,True
2001-04-30,2001,0.0,137380.99,137380.99,True
2001-05-31,2001,0.0,140224.589,140224.589,True
2001-06-30,2001,0.0,146091.07,146091.07,True
2001-07-31,2001,0.0,137661.382,137661.382,True
2001-08-31,2001,0.0,136761.146,136761.146,True
2001-09-30,2001,0.0,145898.377,145898.377,True
2001-10-31,2001,0.0,141301.989,141301.989,True
2001-11-30,2001,0.0,138612.779,138612.779,True
2001-12-31,2001,0.0,145558.458,145558.458,True
2002-01-31,2002,0.0,146747.071,146747.071,True
2002-02-28,2002,0.0,148762.687,148762.687,True
2002-03-31,2002,0.0,148748.32,148748.32,True
2002-04-30,2002,0.0,148539.714,148539.714,True
2002-05-31,2002,0.0,143402.61,143402.61,True
2002-06-30,2002,0.0,150399.839,150399.839,True
2002-07-31,2002,0.0,155563.681,155563.681,True
2002-08-31,2002,0.0,152831.532,152831.532,True
2002-09-30,2002,0.0,155037.9,155037.9,True
2002-10-31,2002,0.0,140737.704,140737.704,True
2002-11-30,2002,0.0,148741.69,148741.69,True
2002-12-31,2002,0.0,147899.247,147899.247,True
2003-01-31,2003,0.0,143189.131,143189.131,True
2003-02-28,2003,0.0,139913.857,139913.857,True
2003-03-31,2003,0.0,141731.568,141731.568,True
2003-04-30,2003,0.0,138634.474,138634.474,True
2003-05-31,2003,0.0,141325.373,141325.373,True
2003-06-30,2003,0.0,138094.059,138094.059,True
2003-07-31,2003,0.0,141846.444,141846.444,True
2003-08-31,2003,0.0,134994.183,134994.183,True
2003-09-30,2003,0.0,135595.396,135595.396,True
2003-10-31,2003,0.0,131164.374,131164.374,True
2003-11-30,2003,0.0,132453.964,132453.964,True
2003-12-31,2003,0.0,131359.113,131359.113,True
2004-01-31,2004,0.0,135448.074,135448.074,True
2004-02-29,2004,0.0,138950.432,138950.432,True
2004-03-31,2004,0.0,133319.729,133319.729,True
2004-04-30,2004,0.0,135814.915,135814.915,True
2004-05-31,2004,0.0,134855.876,134855.876,True
2004-06-30,2004,0.0,130387.555,130387.555,True
2004-07-31,2004,0.0,131891.173,131891.173,True
2004-08-31,2004,0.0,132707.834,132707.834,True
2004-09-30,2004,0.0,129954.708,129954.708,True
2004-10-31,2004,0.0,128427.46,128427.46,True
2004-11-30,2004,0.0,130121.441,130121.441,True
2004-12-31,2004,0.0,130613.142,130613.142,True
2005-01-31,2005,0.0,130939.375,130939.375,True
2005-02-28,2005,0.0,132326.158,132326.158,True
2005-03-31,2005,0.0,131424.629,131424.629,True
2005-04-30,2005,0.0,132391.218,132391.218,True
2005-05-31,2005,0.0,131710.282,131710.282,True
2005-06-30,2005,0.0,134415.314,134415.314,True
2005-07-31,2005,0.0,131430.772,131430.772,True
2005-08-31,2005,0.0,130428.821,130428.821,True
2005-09-30,2005,0.0,129323.367,129323.367,True
2005-10-31,2005,0.0,126737.745,126737.745,True
2005-11-30,2005,0.0,131204.144,131204.144,True
2005-12-31,2005,0.0,129911.17,129911.17,True
2006-01-31,2006,0.0,128499.195,128499.195,True
2006-02-28,2006,0.0,130524.03,130524.03,True
2006-03-31,2006,0.0,131262.773,131262.773,True
2006-04-30,2006,0.0,127008.174,127008.174,True
2006-05-31,2006,0.0,128803.088,128803.088,True
2006-06-30,2006,0.0,136070.459,136070.459,True
2006-07-31,2006,0.0,133667.845,133667.845,True
2006-08-31,2006,0.0,135518.675,135518.675,True
2006-09-30,2006,0.0,135857.849,135857.849,True
2006-10-31,2006,0.0,135088.406,135088.406,True
2006-11-30,2006,0.0,140690.861,140690.861,True
2006-12-31,2006,0.0,150362.203,150362.203,True
2007-01-31,2007,0.0,147897.755,147897.755,True
2007-02-28,2007,0.0,151726.081,151726.081,True
2007-03-31,2007,0.0,146936.051,146936.051,True
2007-04-30,2007,0.0,142508.679,142508.679,True
2007-05-31,2007,0.0,146543.226,146543.226,True
2007-06-30,2007,0.0,149678.3,149678.3,True
2007-07-31,2007,0.0,151868.975,151868.975,True
2007-08-31,2007,0.0,156546.954,156546.954,True
2007-09-30,2007,0.0,157144.848,157144.848,True
2007-10-31,2007,0.0,154381.06,154381.06,True
2007-11-30,2007,0.0,164124.081,164124.081,True
2007-12-31,2007,0.0,159214.144,159214.144,True
2008-01-31,2008,0.0,162385.48,162385.48,True
2008-02-29,2008,0.0,159804.383,159804.383,True
2008-03-31,2008,0.0,161355.677,161355.677,True
2008-04-30,2008,0.0,156488.434,156488.434,True
2008-05-31,2008,0.0,153792.608,153792.608,True
2008-06-30,2008,0.0,147897.116,147897.116,True
2008-07-31,2008,0.0,145912.709,145912.709,True
2008-08-31,2008,0.0,148717.821,148717.821,True
2008-09-30,2008,0.0,147225.066,147225.066,True
2008-10-31,2008,0.0,147558.333,147558.333,True
2008-11-30,2008,0.0,145615.911,145615.911,True
2008-12-31,2008,0.0,146068.13,146068.13,True
2009-01-31,2009,86834.69,139548.401,226383.091,True
2009-02-28,2009,87910.546,134647.639,222558.185,True
2009-03-31,2009,88850.711,132260.448,221111.159,True
2009-04-30,2009,91108.284,130804.013,221912.297,True
2009-05-31,2009,92287.068,125657.292,217944.36,True
2009-06-30,2009,97301.256,121314.402,218615.658,True
2009-07-31,2009,97867.345,116359.947,214227.292,True
2009-08-31,2009,98472.711,116758.342,215231.053,True
2009-09-30,2009,101329.771,118182.129,219511.9,True
2009-10-31,2009,102509.248,120607.935,223117.183,True
2009-11-30,2009,106609.859,122062.361,228672.22,True
2009-12-31,2009,106633.768,120871.779,227505.547,True
2010-01-31,2010,105863.924,118404.683,224268.607,True
2010-02-28,2010,105882.318,117861.218,223743.536,True
2010-03-31,2010,105731.631,115924.19,221655.821,True
2010-04-30,2010,110474.749,116317.94,226792.689,True
2010-05-31,2010,112294.59,122053.149,234347.739,True
2010-06-30,2010,111866.175,126024.046,237890.221,True
2010-07-31,2010,111065.219,127036.971,238102.19,True
2010-08-31,2010,110907.53,130549.119,241456.649,True
2010-09-30,2010,112215.584,132564.092,244779.676,True
2010-10-31,2010,112578.879,134092.228,246671.107,True
2010-11-30,2010,112108.619,132361.726,244470.345,True
2010-12-31,2010,114750.408,135885.528,250635.936,True
2011-01-31,2011,114525.21,144457.318,258982.528,True
2011-02-28,2011,113617.319,143253.641,256870.96,True
2011-03-31,2011,114317.491,156375.788,270693.279,True
2011-04-30,2011,117223.76,161378.302,278602.062,True
2011-05-31,2011,118968.97,152444.063,271413.033,True
2011-06-30,2011,120158.35,147032.763,267191.113,True
2011-07-31,2011,119098.223,142229.21,261327.433,True
2011-08-31,2011,119541.174,141098.798,260639.972,True
2011-09-30,2011,123082.644,138994.456,262077.1,True
2011-10-31,2011,123600.224,131809.416,255409.64,True
2011-11-30,2011,120203.913,134175.764,254379.677,True
2011-12-31,2011,124293.194,136241.047,260534.241,True
2012-01-31,2012,120799.695,137835.246,258634.941,True
2012-02-29,2012,121322.337,138323.756,259646.093,True
2012-03-31,2012,120572.683,138703.98,259276.663,True
2012-04-30,2012,121942.193,137611.614,259553.807,True
2012-05-31,2012,122793.211,144347.964,267141.175,True
2012-06-30,2012,122661.462,147776.192,270437.654,True
2012-07-31,2012,122588.818,147002.301,269591.119,True
2012-08-31,2012,123206.97,146807.457,270014.427,True
2012-09-30,2012,124356.976,142875.524,267232.5,True
2012-10-31,2012,124144.613,139337.222,263481.835,True
2012-11-30,2012,125376.408,143371.474,268747.882,True
2012-12-31,2012,127687.664,146295.797,273983.461,True
2013-01-31,2013,126890.849,141994.06,268884.909,True
2013-02-28,2013,127133.442,146553.483,273686.925,True
2013-03-31,2013,128721.502,147158.194,275879.696,True
2013-04-30,2013,129434.71,139720.062,269154.772,True
2013-05-31,2013,130077.389,147377.825,277455.214,True
2013-06-30,2013,130519.32,151031.442,281550.762,True
2013-07-31,2013,131456.567,143875.948,275332.515,True
2013-08-31,2013,133918.529,151530.195,285448.724,True
2013-09-30,2013,134695.682,151212.412,285908.094,True
2013-10-31,2013,136138.664,142793.86,278932.524,True
2013-11-30,2013,138074.056,149198.451,287272.507,True
2013-12-31,2013,139762.246,147420.69,287182.936,True
2014-01-31,2014,139997.714,141492.725,281490.439,True
2014-02-28,2014,138933.085,148826.413,287759.498,True
2014-03-31,2014,140774.88,149604.253,290379.133,True
2014-04-30,2014,141745.566,143117.356,284862.922,True
2014-05-31,2014,143911.083,149126.707,293037.79,True
2014-06-30,2014,144317.313,151032.603,295349.916,True
2014-07-31,2014,145817.483,146624.41,292441.893,True
2014-08-31,2014,147656.125,152071.07,299727.195,True
2014-09-30,2014,148896.357,153076.849,301973.206,True
2014-10-31,2014,149912.843,149312.239,299225.082,True
2014-11-30,2014,151706.322,156892.997,308599.319,True
2014-12-31,2014,154987.369,153945.376,308932.745,True
2015-01-31,2015,156293.544,156049.047,312342.591,True
2015-02-28,2015,156259.574,164752.78,321012.354,True
2015-03-31,2015,160023.262,164515.059,324538.321,True
