timestamp,forecast_mean,forecast_q10,forecast_q50,forecast_q90
2026-06-01,812679.1,785881.9,810579.0,834819.8
2026-07-01,822424.75,818650.9,810143.4,833716.75
2026-08-01,828560.75,801970.5,826317.0,837606.44
2026-09-01,834340.6,812044.8,824260.75,851517.4
2026-10-01,827264.75,815930.25,812965.1,848824.0
2026-11-01,832409.7,808235.2,822542.5,842814.0
2026-12-01,842061.25,811826.4,836198.1,847855.9
2027-01-01,843946.25,822716.6,834165.7,859194.6
2027-02-01,842425.9,812931.75,837352.8,867466.4
2027-03-01,848272.7,828776.94,842272.1,876428.2
2027-04-01,855741.5,826068.1,843126.3,882388.25
2027-05-01,854651.44,798237.5,846282.2,863376.44
